ra,dec,l,b,parallax,pmra,pmdec,g,bp,rp,parallax_error,ruwe
57.68060025785952,22.718406284968896,168.2932610304956,-23.96621906283115,,,,21.583456,20.130455,18.352453,,
57.67108377512791,22.719186519091963,168.28568962684238,-23.97167786579742,,,,21.459913,20.13702,18.49888,,
57.63449997047776,22.70607589061498,168.26867398756252,-24.004374340951067,0.3434179053902567,-2.9016982150700303,-3.871880679948546,18.153582,18.737307,17.444374,0.16365382,0.97272
57.646379152506874,22.70788781805073,168.27603820836052,-23.995536326239545,0.399797184056386,4.770113442670811,-4.779419456625029,17.033157,17.524128,16.383461,0.08275899,0.98597324
57.62699436197412,22.71618589329795,168.25556694155733,-24.001770108195405,0.7058424026260299,2.60913729806796,-3.932932626707838,20.199,21.29284,19.054861,0.74117947,1.0685998
57.63042561971599,22.715912292961924,168.25829299141668,-23.99979759366574,-0.2609456980953625,16.04766255418851,-20.832934285728378,19.145447,19.76043,18.368902,0.29815325,1.0086237
57.63913862909857,22.719538233762133,168.26196949556777,-23.991645281521176,-0.1574410211985513,-0.4568432718521282,-1.447054962097853,20.103155,20.608824,19.454071,0.6263394,1.0258118
57.654734935382045,22.711855923855666,168.27919352851282,-23.987360225324753,0.2741836751021451,9.324132781208116,0.1452501499002075,20.49105,21.085733,19.208418,0.9870987,1.0250846
57.65615720067195,22.72577103249063,168.2697853166237,-23.97633936125578,,,,20.930353,21.345257,19.822966,,
57.658650887217874,22.743657496349726,168.25818258503088,-23.961751377296444,0.5656020573711377,4.072078730433541,-4.550420680565682,19.968006,20.498116,19.294752,0.52718025,0.9977484
57.67207741413569,22.74187982558445,168.269372699727,-23.954545955987264,0.1571968690774068,0.2666193689427704,-0.5624955575585128,17.337158,17.85703,16.690756,0.09735217,1.0031402
57.675629837914535,22.736923637296993,168.27570245779512,-23.95590137173728,0.2540575649567528,0.3650892658590787,-0.0553793269815831,18.578463,18.974918,18.068987,0.19278511,0.9991088
57.61615288428997,22.71989009692841,168.24482035088033,-24.005935534585124,1.1294526871790225,6.54365870233991,-0.8969173868049006,16.317375,17.136587,15.424831,0.06383798,1.0413446
57.60623394544736,22.72826693821214,168.23124255442465,-24.00611526054576,0.6041244037976694,3.5893319265497463,-2.153462422375388,19.456205,19.956852,18.403322,0.48090252,1.2607279
57.616394168423035,22.74498975231476,168.2261523009682,-23.98751856705002,1.0822744940120734,2.6527798124319366,-6.091170135574638,15.217951,15.72702,14.539874,0.031492915,0.954783
57.63119648565382,22.739218710452423,168.2413573407388,-23.98235355349891,0.1821937925232728,0.6402469524957437,-0.1132914992029521,18.618519,19.212336,17.893791,0.21068807,1.0065117
57.64423761773219,22.752409040411536,168.24102985763167,-23.96450581128607,0.3409061341208505,3.4975474981155044,-2.629285413847609,19.387262,20.417189,18.260351,0.37851107,1.0455006
57.64812583344743,22.750622337235978,168.2452260043977,-23.963345458437846,1.2255237074528953,6.331616655660117,-5.478894645477894,18.8641,19.78361,17.843266,0.2604735,0.96195114
57.625083100758225,22.773121564278867,168.21141745684938,-23.961550727007506,-0.0710917698794877,-0.6464508362002453,-0.3398449995347777,18.869915,19.60778,18.053587,0.23147796,0.9786153
57.618977898771135,22.767836027642662,168.2109010465598,-23.9692581341052,-1.261122859458908,1.2208663641107071,-1.0190176615429574,20.521585,21.010338,19.552458,1.028449,0.98902994
57.66991697655345,22.76329170360255,168.25170758320738,-23.940340537309325,0.8096056508393044,1.434168691520792,9.51189424404401,20.334507,21.333149,19.140247,0.8084867,1.0265222
57.65322827436552,22.77646886893701,168.22956701376884,-23.94131388832625,,,,21.111029,21.524323,19.605312,,
57.684713918527216,22.780119676286503,168.24992876510044,-23.918737656163245,1.2240516391464633,5.190897963812468,-1.7142372858815178,20.687365,21.167162,19.746393,1.4061484,0.98717606
57.682666502289734,22.779848543358813,168.248630423064,-23.920230439258702,,,,21.013216,21.207512,20.055706,,
57.68367567471374,22.78581054303639,168.24489453940794,-23.91525566320283,0.8099231923079058,4.133311738724912,0.3521595040732354,15.914702,16.387653,15.265266,0.048602525,1.0145497
57.68221064924943,22.782645062408623,168.24619641872144,-23.91848496061184,-1.2945283532440226,-1.0911956852374267,-4.564237819275313,20.550472,21.185339,19.45363,0.9670805,0.969493
57.68951273858832,22.78341687405855,168.25097317873272,-23.913302979243262,0.1867834597822743,2.4705718047645933,-4.885667910919237,18.80973,19.709064,17.889841,0.2578699,1.0537758
57.68978199009118,22.79802702212716,168.2402020333177,-23.902506895637025,,,,21.308006,21.469915,20.063505,,
57.68462246117681,22.78720337652168,168.2445433470583,-23.913643565110288,0.0546449118191431,4.3659491410739655,-1.2293533993033674,19.192123,19.910023,18.383484,0.31346658,0.9683883
57.67337701940733,22.79344408369234,168.23160927816392,-23.916218925511263,0.669319871411089,0.2094116393323189,-0.5641394137972813,18.609571,19.052212,18.012434,0.20513207,0.9966633
57.67961495781019,22.80163702663835,168.23003531845714,-23.90631318502076,1.3402424601094114,0.0962830347279634,-1.880975103663011,19.421263,19.845493,18.71611,0.38149422,1.010144
57.62667478068711,22.778266280430945,168.20872503470878,-23.956800131316474,,,,20.804127,21.527525,19.64156,,
